feature,importance_mean,importance_std
feature_103,-0.00033557701808302476,3.6665034653927415e-05
feature_152,-0.000341312538462879,0.0005791324248170498
feature_74,-0.00038941098094342764,0.00039811730884567627
feature_90,-0.0004222424797775154,0.0013071676350451954
feature_150,-0.0005746340569259684,0.0044224962138661545
feature_113,-0.0005863056283729878,0.00037760174057520194
feature_138,-0.0006071991484083883,0.00020273654560296278
feature_62,-0.000944983348367559,0.0007113285833748393
feature_20,-0.0011747217689123512,0.0003855111207074231
feature_112,-0.0014914263803767786,0.0019519811713312719
feature_100,-0.002103415876634296,0.0005409248956119035
weak_component_size,-0.003920575306074206,0.0004927206986132823
feature_3,-0.005963784413655105,0.0006374142233715079
feature_136,-0.006643428836449189,0.00032726943545188455
feature_139,-0.011785686800989384,0.0007564645641804624
